"Longitud" "Latitud" "Promedio" "Minimo" "Maximo"
-71.0919 -38.6517 30.6 0 97
-71.2989 -38.2008 55 0 216.7
-71.3742 -38.4536 49.9 0 184.8
-71.5478 -39.5192 125.7 0 460
-71.55 -38.8506 74.9 0 288.5
-71.5744 -39.3581 95 0 323.5
-71.5753 -38.4703 81.8 0 286
-71.6536 -38.8444 58.6 0 244.2
-71.7219 -40.0225 92.6 0 412.5
-71.7231 -39.1667 111.6 0 353.2
-71.7839 -43.6175 70.3 6 174.4
-71.8053 -43.6117 65.4 4.9 197.2
-71.8083 -39.3314 129 0 350
-71.8089 -39.2 99.6 0 356
-71.8106 -38.2156 106.3 0 381.6
-71.8506 -39.7272 98.1 0 412.4
-71.8525 -43.1889 96.8 4.8 258
-71.8889 -39.8719 188.1 1.5 638.5
-71.8897 -39.8747 168 0.9 544.1
-71.8961 -38.4475 47.3 0 203.5
-71.9306 -43.2158 121.4 6.2 303.5
-71.9386 -41.4242 111.3 1.2 397
-71.9503 -39.2753 94.2 0 300.2
-72 -38.6839 87.9 0 301
-72.0053 -39.5744 121.8 0 416.3
-72.0106 -38.425 61.4 0 200.5
-72.0106 -38.4303 58.5 0.3 233
-72.0125 -38.9269 69.8 0 166
-72.0667 -39.0006 81.8 10 233.9
-72.0833 -39.0333 91.1 16 271
-72.1075 -43.4492 132.1 0 382.2
-72.1136 -38.1053 59.3 0 248.5
-72.1492 -40.2172 122.7 0.4 534.7
-72.1519 -39.5469 86 0 284.9
-72.1653 -39.4681 94.2 0 310.5
-72.1694 -41.6389 136.6 13.2 454
-72.1844 -40.6553 130.4 1.1 421.8
-72.2006 -38.9586 74.6 0 283
-72.2289 -38.2461 49.7 0 167
-72.2333 -38.9833 64.3 1 207.3
-72.2339 -38.6672 65.3 0 191.5
-72.2339 -39.4875 89.1 0 344
-72.2528 -40.1592 102.6 6.2 305.6
-72.2667 -40.25 68.3 0.2 178.6
-72.2917 -39.215 83.4 0 293.5
-72.3117 -41.6511 161.5 29.8 480.4
-72.3536 -43.4683 185.6 23.1 533.3
-72.3658 -43.4128 171.3 24.4 362.8
-72.3775 -38.4211 48.2 0 142.5
-72.3833 -39.1 53.3 0 157.5
-72.3867 -38.4642 52 0 134
-72.3942 -37.8636 36.7 0 166.5
-72.4308 -43.175 214.4 26.8 609.8
-72.435 -41.9383 222.4 47.6 571
-72.4361 -37.9647 29.7 0 138
-72.44 -40.7231 83.7 7.4 216.1
-72.4522 -38.5186 40.3 0 119.4
-72.4581 -39.7731 94.3 1.1 376
-72.4611 -38.0442 37 0 148
-72.4692 -40.3172 88.5 2.6 403.1
-72.5028 -38.6867 36.5 0 143.3
-72.5558 -38.7128 37.9 0 117.7
-72.5764 -41.4297 120.6 23 338.4
-72.59 -38.7425 35.1 0.2 95.4
-72.5958 -41.4172 152.2 34 396.5
-72.6083 -38.9592 51.1 0 193
-72.6169 -40.0672 77.9 3 345.9
-72.6328 -41.0781 88.6 27 237.6
-72.6369 -38.77 41.4 0 113.1
-72.6372 -37.7794 24.7 0 98.1
-72.6417 -39.37 66.3 0 250
-72.6503 -39.1506 65.1 0 283
-72.6536 -38.2561 33.2 0 101.3
-72.6839 -40.7733 81.2 7.7 312.2
-72.6889 -40.7889 76.7 0 288.2
-72.6908 -39.4781 64.9 0.2 215.3
-72.7422 -39.7078 86.8 0 214.2
-72.7772 -38.4133 29.7 0 103
-72.8478 -38.6081 24.9 0.1 96.9
-72.8989 -39.5522 60.6 0 277.7
-72.9025 -39.8044 80.3 1.1 308.5
-72.9039 -38.1636 29.7 0 109.5
-72.9378 -41.46 95.7 13.5 272.3
-72.9469 -38.78 25.7 0 184.8
-72.9606 -37.8233 42.7 0 159.6
-73.0022 -40.3842 44.5 0.1 157.2
-73.0067 -38.0214 24.8 0 91.9
-73.0167 -38.0333 32.4 0 104.4
-73.0608 -40.605 50.3 1.8 179.6
-73.0611 -41.1267 66.6 4.5 237
-73.0781 -39.0278 60.4 1.3 256.2
-73.0808 -39.6506 60.8 0 291.6
-73.0828 -39.0144 51 1.4 225.1
-73.0833 -40.2667 32 0.2 141.4
-73.0978 -41.435 79.9 9.6 226.6
-73.1069 -40.5883 48.8 5.5 174.8
-73.1372 -40.9367 58.4 5.1 189.5
-73.1475 -38.7128 37.5 0 116
-73.1689 -40.1658 61 3.8 275.9
-73.1786 -39.8561 74 0.4 272.2
-73.2003 -39.2006 74.7 0 258
-73.2144 -40.7956 33.6 2.8 101.6
-73.2278 -40.7136 51 1.6 196.9
-73.2408 -38.4942 48.6 0 173.5
-73.2517 -39.8103 69.4 0 189.6
-73.3936 -38.7886 40 0 188.6
-73.4111 -41.1533 70.2 6.8 215.5
-73.4311 -40.1933 134.1 3.5 725.4
-73.4333 -40.3142 74.1 6.3 331.3
-73.4731 -42.1408 110.6 13.2 297.9
-73.6 -41.6153 83.2 11.5 234
-73.6119 -43.1086 64.1 -1272.2 243.4
-73.7728 -42.6228 62.6 5.7 188
-73.7742 -42.4794 55.6 4.3 157
-73.7964 -41.8792 116.8 9.5 316.2
-73.8192 -41.8625 105.6 14.5 261.5
-73.9742 -42.0464 126.1 15.5 320.7
-74.1081 -42.6186 125 24.5 323.5
